Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Fulham,0.012,0.007,0.02,0.032,0.031,0.042,0.051,0.046,0.064,0.071,0.083,0.063,0.081,0.079,0.084,0.07,0.058,0.041,0.047,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.001,0.006,0.006,0.018,0.024,0.03,0.049,0.051,0.059,0.055,0.065,0.075,0.078,0.075,0.08,0.09,0.095,0.064,0.047,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.002,0.004,0.006,0.004,0.011,0.015,0.011,0.029,0.035,0.045,0.041,0.078,0.062,0.068,0.075,0.104,0.101,0.118,0.117,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,0.003,0.007,0.008,0.016,0.012,0.021,0.03,0.052,0.051,0.061,0.066,0.063,0.077,0.085,0.085,0.083,0.086,0.087,0.067,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,0.002,0.01,0.008,0.025,0.028,0.039,0.034,0.061,0.045,0.059,0.086,0.07,0.054,0.082,0.089,0.099,0.073,0.064,0.046,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.036,0.071,0.078,0.093,0.085,0.097,0.108,0.066,0.073,0.058,0.046,0.052,0.031,0.035,0.029,0.008,0.018,0.009,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnley,0.001,0.004,0.006,0.005,0.012,0.017,0.024,0.029,0.04,0.05,0.058,0.061,0.068,0.076,0.087,0.085,0.103,0.117,0.088,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheffield Utd,0.0,0.0,0.0,0.001,0.001,0.004,0.007,0.009,0.019,0.017,0.03,0.027,0.052,0.055,0.074,0.077,0.107,0.156,0.178,0.185,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,0.0,0.0
