,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
0,84,39,48,51,0,57,0,78,45,39,0,66,0,45,0,90,69,0,9,57,66,69,0,66,48,0,96,18
1,36,51,24,48,0,39,0,63,24,30,0,78,0,87,0,87,69,0,48,87,60,93,0,54,60,0,81,21
2,48,30,45,72,0,33,0,69,60,51,0,81,0,75,0,99,45,0,42,57,78,69,0,42,39,0,87,18
3,69,48,30,63,0,48,0,90,60,30,0,81,0,99,0,63,63,0,42,18,45,84,0,45,45,0,102,15
4,48,21,42,51,0,54,0,72,54,30,0,66,0,99,0,84,51,0,60,63,60,63,0,48,69,0,93,12
5,42,54,54,45,0,60,0,78,45,15,0,66,0,72,0,75,60,0,63,45,51,84,0,75,66,0,81,9
6,60,63,33,42,0,57,0,63,54,12,0,99,0,69,0,87,87,0,66,60,45,78,0,45,27,0,78,15
7,51,75,18,42,0,57,0,81,48,18,0,48,0,81,0,84,75,0,33,48,93,87,0,42,51,0,87,21
8,57,57,24,54,0,57,0,66,51,39,0,81,0,69,0,54,78,0,33,72,72,63,0,42,57,0,102,12
9,51,42,45,57,0,42,0,84,42,57,0,81,0,87,0,66,63,0,51,48,42,78,0,33,69,0,87,15
10,93,42,30,45,0,54,0,48,15,54,0,60,0,90,0,90,57,0,66,57,69,81,0,39,51,0,78,21
11,54,39,75,54,0,42,0,63,39,27,0,84,0,75,0,66,54,0,21,60,75,93,0,45,84,0,72,18
12,30,48,42,60,0,36,0,57,30,60,0,87,0,78,0,72,66,0,51,51,63,87,0,36,66,0,93,27
13,39,63,33,27,0,57,0,66,45,66,0,66,0,69,0,60,54,0,66,81,51,87,0,39,30,0,99,42
14,45,66,24,39,0,60,0,78,30,54,0,63,0,69,0,66,66,0,75,54,39,84,0,48,57,0,102,21
15,33,69,18,45,0,54,0,42,54,15,0,84,0,54,0,84,63,0,45,69,81,81,0,60,42,0,102,45
16,45,27,75,30,0,60,0,51,57,33,0,78,0,81,0,81,48,0,48,54,66,84,0,30,51,0,102,39
17,48,69,33,63,0,63,0,54,36,63,0,81,0,60,0,78,54,0,60,72,63,60,0,39,33,0,99,12
18,69,63,33,54,0,42,0,84,54,24,0,75,0,36,0,72,66,0,15,81,96,84,0,27,30,0,84,51
19,27,33,42,69,0,69,0,69,42,39,0,75,0,54,0,75,75,0,51,48,63,96,0,39,72,0,90,12
20,27,75,54,33,0,36,0,60,63,42,0,66,0,66,0,69,90,0,48,72,57,78,0,42,39,0,84,39
21,24,66,30,36,0,63,0,69,33,21,0,90,0,90,0,78,57,0,45,69,57,72,0,60,63,0,99,18
22,51,48,24,78,0,45,0,63,33,30,0,93,0,48,0,78,99,0,48,48,63,81,0,39,45,0,105,21
23,33,54,42,48,0,45,0,57,45,42,0,57,0,93,0,72,81,0,45,48,78,57,0,54,66,0,90,33
24,36,51,48,45,0,60,0,51,60,33,0,60,0,69,0,93,81,0,36,69,51,93,0,30,60,0,75,39
25,24,54,33,60,0,36,0,63,36,39,0,57,0,81,0,78,45,0,78,66,81,81,0,75,42,0,90,21
26,69,27,36,42,0,39,0,60,27,42,0,75,0,72,0,72,87,0,66,57,57,84,0,51,48,0,102,27
27,66,57,30,75,0,72,0,48,42,21,0,75,0,63,0,81,33,0,72,57,45,87,0,39,66,0,90,21
28,24,51,57,21,0,60,0,72,39,60,0,87,0,63,0,78,48,0,27,54,72,84,0,39,63,0,108,33
29,30,63,33,51,0,33,0,69,42,57,0,69,0,69,0,69,87,0,60,57,96,87,0,45,36,0,75,12
30,36,54,21,39,0,60,0,57,45,48,0,87,0,63,0,93,66,0,54,33,72,78,0,45,66,0,93,30
31,60,48,36,36,0,39,0,84,33,27,0,66,0,72,0,75,81,0,30,51,87,93,0,51,57,0,99,15
32,57,30,36,54,0,57,0,69,27,21,0,87,0,87,0,69,54,0,33,75,63,90,0,57,54,0,96,24
33,42,33,51,42,0,51,0,60,57,51,0,78,0,69,0,66,69,0,27,75,57,72,0,51,54,0,99,36
34,60,72,24,33,0,27,0,84,36,21,0,90,0,102,0,72,63,0,36,63,75,45,0,48,60,0,93,36
35,27,36,81,54,0,45,0,57,45,39,0,84,0,93,0,42,66,0,60,75,63,90,0,45,30,0,99,9
36,45,45,36,90,0,36,0,69,21,39,0,75,0,84,0,102,60,0,60,36,69,45,0,60,54,0,96,18
37,48,36,60,42,0,36,0,66,81,30,0,84,0,72,0,81,90,0,33,54,69,51,0,42,45,0,87,33
38,66,48,42,27,0,51,0,54,69,69,0,48,0,69,0,66,48,0,36,72,66,81,0,48,57,0,102,21
39,60,39,30,30,0,51,0,57,36,36,0,87,0,75,0,84,66,0,42,54,57,66,0,81,72,0,93,24
40,30,60,21,42,0,69,0,42,60,54,0,75,0,69,0,93,78,0,33,66,54,45,0,84,48,0,87,30
41,30,81,42,30,0,45,0,63,39,30,0,72,0,81,0,87,63,0,48,84,42,78,0,45,66,0,93,21
42,48,72,21,27,0,48,0,78,24,45,0,78,0,66,0,84,63,0,33,63,81,81,0,63,39,0,93,33
43,60,54,45,27,0,45,0,60,63,54,0,45,0,81,0,99,87,0,78,36,51,39,0,48,27,0,99,42
44,48,48,36,39,0,69,0,72,69,36,0,75,0,66,0,102,27,0,39,48,84,87,0,24,60,0,78,33
45,66,21,51,48,0,30,0,69,42,48,0,66,0,81,0,75,75,0,60,60,36,72,0,75,48,0,93,24
46,36,24,42,63,0,78,0,81,72,57,0,39,0,51,0,81,57,0,51,69,63,81,0,51,27,0,93,24
47,48,45,30,72,0,24,0,39,60,24,0,63,0,69,0,93,48,0,81,54,69,81,0,42,69,0,96,33
48,30,57,60,33,0,45,0,45,66,30,0,69,0,66,0,96,48,0,63,60,69,66,0,60,48,0,90,39
49,27,33,27,66,0,51,0,63,42,12,0,96,0,81,0,78,57,0,33,63,75,87,0,36,66,0,99,48
50,54,51,42,48,0,66,0,66,54,27,0,72,0,81,0,78,63,0,45,66,66,72,0,36,24,0,87,42
51,33,63,45,57,0,51,0,54,42,36,0,57,0,84,0,36,90,0,57,81,63,57,0,60,33,0,102,39
