Team,Average Points,Rank
Manchester City,91.179,1
Liverpool,79.008,2
Arsenal,78.723,3
Manchester Utd,74.232,4
Newcastle Utd,71.916,5
Aston Villa,65.949,6
Brentford,65.814,7
Brighton,63.639,8
Tottenham,61.572,9
Crystal Palace,52.065,10
Chelsea,52.023,11
West Ham,49.344,12
Wolves,48.942,13
Fulham,48.684,14
Nott'ham Forest,47.379,15
Everton,46.05,16
Burnley,43.731,17
Bournemouth,39.996,18
Sheffield Utd,34.47,19
Luton Town,25.284,20
Southampton,0.0,21
Watford,0.0,22
Norwich City,0.0,23
Cardiff City,0.0,24
Huddersfield,0.0,25
West Brom,0.0,26
Leeds United,0.0,27
Leicester City,0.0,28
