Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Fulham,0.003,0.007,0.016,0.028,0.02,0.034,0.039,0.064,0.061,0.06,0.067,0.074,0.074,0.074,0.09,0.082,0.067,0.065,0.054,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nott'ham Forest,0.0,0.006,0.013,0.017,0.021,0.032,0.047,0.049,0.058,0.066,0.065,0.074,0.082,0.077,0.074,0.077,0.088,0.058,0.059,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.002,0.008,0.006,0.02,0.016,0.026,0.028,0.038,0.053,0.059,0.065,0.078,0.062,0.104,0.124,0.109,0.126,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,0.001,0.003,0.008,0.017,0.017,0.029,0.042,0.026,0.042,0.071,0.062,0.081,0.073,0.09,0.089,0.076,0.082,0.086,0.064,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,0.001,0.013,0.016,0.017,0.027,0.039,0.032,0.057,0.069,0.062,0.064,0.078,0.084,0.092,0.067,0.082,0.058,0.061,0.057,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.032,0.061,0.083,0.092,0.084,0.082,0.086,0.087,0.088,0.062,0.059,0.036,0.036,0.029,0.024,0.02,0.019,0.013,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnley,0.0,0.002,0.005,0.014,0.014,0.03,0.023,0.037,0.037,0.04,0.058,0.055,0.065,0.078,0.111,0.09,0.102,0.089,0.098,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheffield Utd,0.0,0.0,0.002,0.0,0.005,0.003,0.007,0.01,0.015,0.033,0.036,0.026,0.039,0.053,0.058,0.096,0.102,0.153,0.189,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Manchester Utd,0.068,0.138,0.139,0.126,0.105,0.105,0.075,0.053,0.059,0.027,0.03,0.02,0.015,0.013,0.008,0.011,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Newcastle Utd,0.071,0.104,0.089,0.109,0.128,0.085,0.107,0.057,0.058,0.049,0.041,0.029,0.023,0.017,0.011,0.006,0.005,0.006,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Liverpool,0.137,0.172,0.157,0.131,0.103,0.074,0.076,0.042,0.022,0.023,0.02,0.018,0.008,0.009,0.003,0.001,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,0.029,0.046,0.079,0.079,0.096,0.086,0.08,0.085,0.086,0.055,0.055,0.051,0.056,0.041,0.028,0.017,0.011,0.012,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wolves,0.0,0.004,0.009,0.02,0.024,0.021,0.037,0.05,0.065,0.06,0.076,0.073,0.086,0.072,0.1,0.085,0.07,0.073,0.048,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighton,0.016,0.041,0.063,0.055,0.092,0.081,0.081,0.079,0.065,0.1,0.054,0.065,0.06,0.037,0.034,0.026,0.025,0.015,0.005,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tottenham,0.014,0.03,0.044,0.054,0.052,0.088,0.086,0.088,0.082,0.082,0.068,0.067,0.056,0.05,0.037,0.039,0.029,0.018,0.01,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,0.149,0.144,0.145,0.118,0.104,0.08,0.056,0.06,0.031,0.022,0.022,0.023,0.021,0.009,0.007,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Crystal Palace,0.003,0.008,0.008,0.019,0.026,0.041,0.056,0.062,0.053,0.073,0.086,0.076,0.068,0.082,0.08,0.075,0.065,0.06,0.044,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.007,0.015,0.021,0.027,0.043,0.038,0.056,0.067,0.069,0.073,0.085,0.071,0.075,0.088,0.066,0.07,0.071,0.042,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Manchester City,0.476,0.214,0.107,0.075,0.049,0.027,0.015,0.011,0.011,0.007,0.004,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.007,0.008,0.017,0.024,0.028,0.042,0.072,0.108,0.185,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
