Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Fulham,3,7,16,28,20,34,39,64,61,60,67,74,74,74,90,82,67,65,54,21,0,0,0,0,0,0,0,0
Nott'ham Forest,0,6,13,17,21,32,47,49,58,66,65,74,82,77,74,77,88,58,59,37,0,0,0,0,0,0,0,0
Bournemouth,0,0,2,8,6,20,16,26,28,38,53,59,65,78,62,104,124,109,126,76,0,0,0,0,0,0,0,0
Everton,1,3,8,17,17,29,42,26,42,71,62,81,73,90,89,76,82,86,64,41,0,0,0,0,0,0,0,0
Leeds United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
West Ham,1,13,16,17,27,39,32,57,69,62,64,78,84,92,67,82,58,61,57,24,0,0,0,0,0,0,0,0
Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
Aston Villa,32,61,83,92,84,82,86,87,88,62,59,36,36,29,24,20,19,13,7,0,0,0,0,0,0,0,0,0
Burnley,0,2,5,14,14,30,23,37,37,40,58,55,65,78,111,90,102,89,98,52,0,0,0,0,0,0,0,0
Sheffield Utd,0,0,2,0,5,3,7,10,15,33,36,26,39,53,58,96,102,153,189,173,0,0,0,0,0,0,0,0
Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
Manchester Utd,68,138,139,126,105,105,75,53,59,27,30,20,15,13,8,11,4,2,2,0,0,0,0,0,0,0,0,0
Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0
Newcastle Utd,71,104,89,109,128,85,107,57,58,49,41,29,23,17,11,6,5,6,5,0,0,0,0,0,0,0,0,0
Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
Liverpool,137,172,157,131,103,74,76,42,22,23,20,18,8,9,3,1,3,1,0,0,0,0,0,0,0,0,0,0
Brentford,29,46,79,79,96,86,80,85,86,55,55,51,56,41,28,17,11,12,5,3,0,0,0,0,0,0,0,0
Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0
Wolves,0,4,9,20,24,21,37,50,65,60,76,73,86,72,100,85,70,73,48,27,0,0,0,0,0,0,0,0
Brighton,16,41,63,55,92,81,81,79,65,100,54,65,60,37,34,26,25,15,5,6,0,0,0,0,0,0,0,0
Tottenham,14,30,44,54,52,88,86,88,82,82,68,67,56,50,37,39,29,18,10,6,0,0,0,0,0,0,0,0
Arsenal,149,144,145,118,104,80,56,60,31,22,22,23,21,9,7,5,4,0,0,0,0,0,0,0,0,0,0,0
Norwich City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
Crystal Palace,3,8,8,19,26,41,56,62,53,73,86,76,68,82,80,75,65,60,44,15,0,0,0,0,0,0,0,0
Chelsea,0,7,15,21,27,43,38,56,67,69,73,85,71,75,88,66,70,71,42,16,0,0,0,0,0,0,0,0
West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
Manchester City,476,214,107,75,49,27,15,11,11,7,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luton Town,0,0,0,0,0,0,1,1,3,1,7,8,17,24,28,42,72,108,185,503,0,0,0,0,0,0,0,0
