,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
0,36,42,63,33,0,54,0,42,39,33,0,87,0,84,0,66,72,0,48,87,63,84,0,51,48,0,99,9
1,54,18,54,42,0,30,0,69,42,33,0,81,0,63,0,87,84,0,51,72,48,72,0,84,33,0,93,30
2,39,36,54,45,0,33,0,57,45,30,0,66,0,69,0,78,63,0,57,78,66,84,0,66,48,0,93,33
3,36,60,33,48,0,60,0,57,18,42,0,63,0,69,0,78,78,0,57,90,63,69,0,54,51,0,90,24
4,27,54,45,51,0,33,0,90,63,30,0,75,0,78,0,81,57,0,39,45,60,87,0,78,39,0,93,15
5,54,39,63,30,0,45,0,72,42,36,0,54,0,69,0,54,66,0,63,81,66,69,0,57,54,0,75,51
6,42,30,51,63,0,60,0,72,54,60,0,63,0,72,0,84,45,0,33,54,51,81,0,54,57,0,96,18
7,48,72,24,45,0,51,0,60,51,27,0,63,0,78,0,93,60,0,36,72,66,69,0,51,54,0,108,12
8,57,57,39,42,0,57,0,60,6,33,0,72,0,75,0,63,33,0,63,72,90,84,0,69,42,0,102,24
9,69,36,57,18,0,39,0,69,36,15,0,57,0,78,0,90,57,0,63,60,78,60,0,69,57,0,99,33
10,69,33,30,66,0,66,0,78,39,39,0,75,0,54,0,72,60,0,75,75,60,63,0,69,18,0,81,18
11,48,45,51,66,0,54,0,72,51,33,0,63,0,75,0,87,51,0,75,57,39,87,0,45,39,0,99,3
12,60,69,36,60,0,42,0,42,54,21,0,54,0,60,0,90,66,0,48,75,60,87,0,51,48,0,93,24
13,60,54,24,75,0,66,0,39,33,42,0,78,0,75,0,63,39,0,33,51,54,87,0,81,72,0,84,30
14,54,48,54,54,0,72,0,42,66,21,0,63,0,48,0,84,63,0,24,81,60,87,0,54,36,0,96,33
15,45,57,15,42,0,69,0,90,39,66,0,78,0,78,0,90,54,0,42,15,63,72,0,36,75,0,87,27
16,51,30,57,63,0,66,0,60,33,33,0,75,0,75,0,57,72,0,45,48,78,78,0,51,54,0,102,12
17,36,48,36,57,0,57,0,42,63,36,0,84,0,60,0,84,69,0,75,42,45,75,0,54,57,0,93,27
18,51,48,39,33,0,57,0,57,51,0,0,87,0,84,0,87,51,0,66,75,54,78,0,51,51,0,93,27
19,66,36,30,66,0,42,0,66,45,24,0,66,0,84,0,57,39,0,51,72,81,69,0,75,48,0,108,15
20,75,63,78,30,0,69,0,48,48,45,0,42,0,57,0,81,72,0,30,30,66,96,0,54,42,0,102,12
21,48,57,63,39,0,69,0,63,27,6,0,102,0,57,0,60,63,0,45,48,72,96,0,42,48,0,105,30
22,45,54,51,24,0,33,0,66,48,39,0,72,0,75,0,84,51,0,63,69,57,66,0,75,36,0,87,45
23,54,42,27,48,0,45,0,63,39,42,0,81,0,57,0,63,60,0,48,78,81,93,0,48,72,0,84,15
24,54,54,66,15,0,63,0,60,45,33,0,90,0,63,0,54,69,0,42,42,66,72,0,57,75,0,99,21
25,42,48,42,36,0,60,0,54,48,33,0,78,0,75,0,90,84,0,24,48,54,90,0,60,48,0,105,21
26,45,18,27,51,0,78,0,45,51,36,0,78,0,75,0,69,75,0,33,54,81,78,0,78,57,0,81,30
27,21,69,57,48,0,33,0,66,39,39,0,69,0,72,0,96,63,0,57,36,54,60,0,93,66,0,81,21
28,63,42,60,51,0,27,0,54,30,15,0,75,0,99,0,60,78,0,72,72,48,57,0,60,60,0,93,24
29,33,63,27,57,0,57,0,60,75,39,0,84,0,72,0,81,48,0,30,63,39,66,0,72,45,0,105,24
30,21,66,51,27,0,63,0,60,45,45,0,87,0,84,0,69,69,0,60,63,27,75,0,27,36,0,108,57
31,48,36,42,66,0,36,0,78,48,30,0,48,0,75,0,93,63,0,45,45,66,87,0,57,45,0,102,30
32,66,42,54,54,0,36,0,93,45,27,0,63,0,48,0,102,60,0,48,54,45,90,0,57,42,0,87,27
33,66,36,57,39,0,42,0,69,39,57,0,90,0,75,0,78,66,0,30,63,18,96,0,51,57,0,75,36
34,63,21,36,33,0,63,0,63,51,39,0,81,0,42,0,99,87,0,30,63,54,90,0,54,69,0,72,30
35,45,48,45,36,0,36,0,78,33,42,0,84,0,87,0,78,84,0,48,66,60,75,0,45,18,0,105,27
36,54,18,69,15,0,39,0,60,63,36,0,87,0,69,0,87,60,0,54,72,57,96,0,45,57,0,93,9
37,33,63,24,45,0,42,0,84,63,18,0,78,0,63,0,72,48,0,51,48,84,87,0,45,69,0,84,39
