Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Fulham,12,7,20,32,31,42,51,46,64,71,83,63,81,79,84,70,58,41,47,18,0,0,0,0,0,0,0,0
Nott'ham Forest,1,6,6,18,24,30,49,51,59,55,65,75,78,75,80,90,95,64,47,32,0,0,0,0,0,0,0,0
Bournemouth,2,4,6,4,11,15,11,29,35,45,41,78,62,68,75,104,101,118,117,74,0,0,0,0,0,0,0,0
Everton,3,7,8,16,12,21,30,52,51,61,66,63,77,85,85,83,86,87,67,40,0,0,0,0,0,0,0,0
Leeds United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,998,0,0,0,0,0,0,0
West Ham,2,10,8,25,28,39,34,61,45,59,86,70,54,82,89,99,73,64,46,26,0,0,0,0,0,0,0,0
Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,998,0,0,0,0,0,0
Aston Villa,36,71,78,93,85,97,108,66,73,58,46,52,31,35,29,8,18,9,5,2,0,0,0,0,0,0,0,0
Burnley,1,4,6,5,12,17,24,29,40,50,58,61,68,76,87,85,103,117,88,69,0,0,0,0,0,0,0,0
Sheffield Utd,0,0,0,1,1,4,7,9,19,17,30,27,52,55,74,77,107,156,178,185,0,1,0,0,0,0,0,0
Cardiff City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,0,0,0,0,0
Manchester Utd,70,133,131,127,116,77,78,56,63,40,30,26,17,19,7,3,3,1,2,1,0,0,0,0,0,0,0,0
Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,0,0,0,0
Newcastle Utd,79,76,117,107,114,89,89,72,60,46,37,32,27,17,14,12,6,1,4,1,0,0,0,0,0,0,0,0
Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,0,0,0
Liverpool,151,178,134,127,106,86,60,41,34,27,23,10,9,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0
Brentford,28,53,77,78,68,101,88,89,45,76,59,53,55,41,26,25,17,12,7,2,0,0,0,0,0,0,0,0
Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,0,0
Wolves,0,6,7,15,24,19,35,37,54,66,61,73,75,79,93,101,82,75,66,32,0,0,0,0,0,0,0,0
Brighton,20,34,54,59,86,85,75,86,92,71,50,61,65,57,33,27,22,10,8,5,0,0,0,0,0,0,0,0
Tottenham,13,25,61,59,66,77,82,95,78,70,78,67,56,41,43,23,18,26,15,7,0,0,0,0,0,0,0,0
Arsenal,144,139,143,102,109,80,69,49,44,33,24,24,14,12,7,2,5,0,0,0,0,0,0,0,0,0,0,0
Norwich City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,0
Crystal Palace,5,8,17,22,38,51,49,63,64,67,75,78,84,74,77,56,59,50,42,21,0,0,0,0,0,0,0,0
Chelsea,4,8,7,22,19,41,42,54,66,74,79,78,78,79,67,70,82,50,59,21,0,0,0,0,0,0,0,0
West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999
Manchester City,429,231,120,88,49,28,17,14,11,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luton Town,0,0,0,0,1,1,2,1,3,5,8,7,16,20,27,62,63,119,202,462,0,0,0,0,0,0,0,1
