,ranking,probability,teams
0,1,0.004,Fulham
1,2,0.008,Fulham
2,3,0.018,Fulham
3,4,0.027,Fulham
4,5,0.035,Fulham
5,6,0.048,Fulham
6,7,0.038,Fulham
7,8,0.059,Fulham
8,9,0.058,Fulham
9,10,0.072,Fulham
10,11,0.083,Fulham
11,12,0.08,Fulham
12,13,0.084,Fulham
13,14,0.071,Fulham
14,15,0.072,Fulham
15,16,0.082,Fulham
16,17,0.053,Fulham
17,18,0.046,Fulham
18,19,0.043,Fulham
19,20,0.019,Fulham
20,1,0.0,Nott'ham Forest
21,2,0.008,Nott'ham Forest
22,3,0.01,Nott'ham Forest
23,4,0.027,Nott'ham Forest
24,5,0.025,Nott'ham Forest
25,6,0.033,Nott'ham Forest
26,7,0.038,Nott'ham Forest
27,8,0.047,Nott'ham Forest
28,9,0.051,Nott'ham Forest
29,10,0.064,Nott'ham Forest
30,11,0.067,Nott'ham Forest
31,12,0.077,Nott'ham Forest
32,13,0.082,Nott'ham Forest
33,14,0.078,Nott'ham Forest
34,15,0.082,Nott'ham Forest
35,16,0.071,Nott'ham Forest
36,17,0.08,Nott'ham Forest
37,18,0.076,Nott'ham Forest
38,19,0.057,Nott'ham Forest
39,20,0.027,Nott'ham Forest
40,1,0.0,Bournemouth
41,2,0.004,Bournemouth
42,3,0.001,Bournemouth
43,4,0.007,Bournemouth
44,5,0.004,Bournemouth
45,6,0.015,Bournemouth
46,7,0.016,Bournemouth
47,8,0.026,Bournemouth
48,9,0.041,Bournemouth
49,10,0.035,Bournemouth
50,11,0.055,Bournemouth
51,12,0.06,Bournemouth
52,13,0.072,Bournemouth
53,14,0.085,Bournemouth
54,15,0.093,Bournemouth
55,16,0.1,Bournemouth
56,17,0.086,Bournemouth
57,18,0.127,Bournemouth
58,19,0.097,Bournemouth
59,20,0.076,Bournemouth
60,1,0.003,Everton
61,2,0.007,Everton
62,3,0.007,Everton
63,4,0.008,Everton
64,5,0.02,Everton
65,6,0.035,Everton
66,7,0.033,Everton
67,8,0.032,Everton
68,9,0.051,Everton
69,10,0.062,Everton
70,11,0.066,Everton
71,12,0.076,Everton
72,13,0.072,Everton
73,14,0.099,Everton
74,15,0.081,Everton
75,16,0.087,Everton
76,17,0.083,Everton
77,18,0.059,Everton
78,19,0.076,Everton
79,20,0.043,Everton
80,1,0.0,Leeds United
81,2,0.0,Leeds United
82,3,0.0,Leeds United
83,4,0.0,Leeds United
84,5,0.0,Leeds United
85,6,0.0,Leeds United
86,7,0.0,Leeds United
87,8,0.0,Leeds United
88,9,0.0,Leeds United
89,10,0.0,Leeds United
90,11,0.0,Leeds United
91,12,0.0,Leeds United
92,13,0.0,Leeds United
93,14,0.0,Leeds United
94,15,0.0,Leeds United
95,16,0.0,Leeds United
96,17,0.0,Leeds United
97,18,0.0,Leeds United
98,19,0.0,Leeds United
99,20,0.001,Leeds United
100,1,0.0,West Ham
101,2,0.008,West Ham
102,3,0.011,West Ham
103,4,0.011,West Ham
104,5,0.031,West Ham
105,6,0.03,West Ham
106,7,0.056,West Ham
107,8,0.037,West Ham
108,9,0.061,West Ham
109,10,0.065,West Ham
110,11,0.061,West Ham
111,12,0.069,West Ham
112,13,0.076,West Ham
113,14,0.089,West Ham
114,15,0.079,West Ham
115,16,0.078,West Ham
116,17,0.08,West Ham
117,18,0.076,West Ham
118,19,0.053,West Ham
119,20,0.029,West Ham
120,1,0.0,Huddersfield
121,2,0.0,Huddersfield
122,3,0.0,Huddersfield
123,4,0.0,Huddersfield
124,5,0.0,Huddersfield
125,6,0.0,Huddersfield
126,7,0.0,Huddersfield
127,8,0.0,Huddersfield
128,9,0.0,Huddersfield
129,10,0.0,Huddersfield
130,11,0.0,Huddersfield
131,12,0.0,Huddersfield
132,13,0.0,Huddersfield
133,14,0.0,Huddersfield
134,15,0.0,Huddersfield
135,16,0.0,Huddersfield
136,17,0.0,Huddersfield
137,18,0.0,Huddersfield
138,19,0.0,Huddersfield
139,20,0.0,Huddersfield
